0.000,0.013,0.024,0.031,0.042,0.051,0.059,0.069,0.078,0.090,0.102,0.111,0.120,0.128,0.139,0.150,0.163,0.173,0.183,0.194,0.205,0.211,0.223,0.233,0.243,0.253,0.263,0.276,0.290,0.301,0.311,0.322,0.332,0.343,0.352,0.360,0.370,0.382,0.392,0.401,0.411,0.419,0.426,0.435,0.445,0.455,0.465,0.473,0.482,0.495,
0.000,0.012,0.024,0.029,0.041,0.050,0.060,0.072,0.083,0.090,0.102,0.108,0.118,0.130,0.148,0.151,0.167,0.170,0.183,0.187,0.196,0.214,0.233,0.227,0.233,0.250,0.254,0.274,0.282,0.299,0.300,0.306,0.328,0.319,0.339,0.347,0.365,0.372,0.383,0.400,0.397,0.399,0.421,0.435,0.442,0.448,0.449,0.476,0.473,0.488,
0.000,0.011,0.019,0.029,0.040,0.051,0.060,0.073,0.083,0.092,0.098,0.112,0.118,0.125,0.137,0.149,0.165,0.161,0.181,0.192,0.198,0.215,0.220,0.229,0.233,0.252,0.256,0.271,0.274,0.294,0.299,0.292,0.325,0.320,0.327,0.352,0.363,0.365,0.384,0.394,0.398,0.409,0.424,0.431,0.432,0.451,0.458,0.481,0.480,0.494,
0.000,0.012,0.021,0.033,0.041,0.052,0.064,0.078,0.082,0.094,0.102,0.106,0.124,0.132,0.146,0.156,0.158,0.167,0.185,0.188,0.201,0.220,0.210,0.228,0.247,0.237,0.267,0.271,0.283,0.298,0.306,0.313,0.322,0.330,0.332,0.355,0.367,0.369,0.375,0.390,0.412,0.407,0.428,0.445,0.434,0.456,0.455,0.482,0.480,0.491,
0.000,0.009,0.021,0.031,0.043,0.049,0.063,0.066,0.085,0.092,0.099,0.106,0.122,0.131,0.136,0.150,0.167,0.162,0.188,0.193,0.195,0.213,0.215,0.234,0.247,0.249,0.257,0.275,0.276,0.301,0.309,0.292,0.327,0.324,0.340,0.353,0.366,0.363,0.387,0.400,0.398,0.400,0.423,0.417,0.437,0.447,0.459,0.478,0.490,0.487,
0.000,0.011,0.021,0.031,0.040,0.046,0.062,0.074,0.082,0.088,0.099,0.117,0.120,0.135,0.148,0.140,0.158,0.168,0.178,0.188,0.201,0.217,0.225,0.222,0.245,0.254,0.267,0.269,0.287,0.293,0.298,0.315,0.320,0.340,0.342,0.353,0.351,0.370,0.378,0.391,0.397,0.411,0.429,0.432,0.436,0.437,0.448,0.475,0.480,0.482,
0.000,0.011,0.021,0.033,0.042,0.051,0.061,0.075,0.082,0.093,0.099,0.106,0.122,0.137,0.141,0.146,0.162,0.160,0.184,0.197,0.206,0.214,0.216,0.225,0.245,0.251,0.270,0.278,0.280,0.295,0.292,0.311,0.325,0.335,0.333,0.358,0.357,0.356,0.385,0.396,0.402,0.407,0.423,0.432,0.445,0.445,0.461,0.469,0.479,0.493,
0.000,0.011,0.022,0.034,0.041,0.052,0.063,0.073,0.080,0.093,0.104,0.106,0.121,0.138,0.145,0.153,0.160,0.167,0.181,0.190,0.198,0.210,0.222,0.232,0.243,0.252,0.267,0.267,0.285,0.287,0.301,0.316,0.323,0.328,0.337,0.349,0.363,0.371,0.376,0.398,0.403,0.397,0.418,0.433,0.437,0.446,0.471,0.470,0.484,0.493,
0.000,0.010,0.021,0.032,0.043,0.051,0.061,0.070,0.086,0.090,0.101,0.106,0.123,0.132,0.142,0.155,0.160,0.171,0.179,0.196,0.203,0.213,0.215,0.223,0.246,0.251,0.266,0.262,0.285,0.298,0.304,0.299,0.312,0.331,0.331,0.353,0.354,0.358,0.387,0.395,0.409,0.411,0.424,0.437,0.445,0.447,0.447,0.471,0.482,0.492,
0.000,0.012,0.020,0.031,0.040,0.049,0.058,0.073,0.080,0.091,0.097,0.107,0.120,0.136,0.142,0.147,0.161,0.174,0.182,0.194,0.194,0.210,0.219,0.225,0.233,0.244,0.263,0.264,0.284,0.293,0.298,0.313,0.318,0.320,0.339,0.348,0.361,0.359,0.378,0.395,0.394,0.418,0.417,0.429,0.439,0.443,0.455,0.480,0.473,0.491,
